A,B,C,D,F,GPA,Q,TOTAL,INSTRUCTOR,A_PER,B_PER,C_PER,D_PER,F_PER,COURSE
8,5,0,0,0,3.615,0.0,14.0,HAWKINS A,57.14,35.71,0.0,0.0,0.0,ARCH 608
6,6,0,0,0,3.5,0.0,15.0,GIBBS B,40.0,40.0,0.0,0.0,0.0,ARCH 608
8,1,0,0,0,3.888,0.0,9.0,GESSNER T,88.89,11.11,0.0,0.0,0.0,ARCH 614
6,3,1,0,0,3.5,0.0,10.0,HABERL J,60.0,30.0,10.0,0.0,0.0,ARCH 615
8,1,0,0,0,3.888,0.0,9.0,HABERL J,88.89,11.11,0.0,0.0,0.0,ARCH 621
3,7,0,0,0,3.3,0.0,10.0,DUDLEY D,30.0,70.0,0.0,0.0,0.0,ARCH 631
12,8,1,0,0,3.523,0.0,21.0,BALTAZAR J,57.14,38.1,4.76,0.0,0.0,ARCH 633
4,2,0,0,0,3.666,0.0,6.0,BELTRAN L,66.67,33.33,0.0,0.0,0.0,ARCH 634
8,2,0,0,0,3.8,0.0,10.0,CULP C,80.0,20.0,0.0,0.0,0.0,ARCH 643
10,2,0,0,0,3.833,0.0,12.0,CAMPAGNOL G,83.33,16.67,0.0,0.0,0.0,ARCH 644
11,0,0,0,0,4.0,0.0,11.0,AITANI K,100.0,0.0,0.0,0.0,0.0,ARCH 645
13,0,0,0,0,4.0,0.0,13.0,JAIN P,100.0,0.0,0.0,0.0,0.0,ARCH 646
7,0,0,0,0,4.0,0.0,7.0,YAN W,100.0,0.0,0.0,0.0,0.0,ARCH 653
10,3,0,0,0,3.769,0.0,14.0,HAWKINS A,71.43,21.43,0.0,0.0,0.0,ARCH 657
1,2,2,0,0,2.8,0.0,5.0,ALI A,20.0,40.0,40.0,0.0,0.0,ARCH 658
5,2,0,0,0,3.714,0.0,7.0,ERMINY M,71.43,28.57,0.0,0.0,0.0,ARCH 659
6,4,1,0,0,3.454,0.0,11.0,PENTECOST A,54.55,36.36,9.09,0.0,0.0,ARCH 660
5,0,0,0,0,4.0,0.0,5.0,CLAYTON M,100.0,0.0,0.0,0.0,0.0,ARCH 685
2,3,0,0,0,3.4,0.0,5.0,ERMINY M,40.0,60.0,0.0,0.0,0.0,ARCH 685
6,0,0,0,0,4.0,0.0,6.0,CAFFEY S,100.0,0.0,0.0,0.0,0.0,ARCH 685
5,1,0,0,0,3.555,0.0,6.0,AITANI K,83.33,16.67,0.0,0.0,0.0,ARCH 685
25,0,0,0,0,4.0,0.0,25.0,CAFFEY S,100.0,0.0,0.0,0.0,0.0,ENDS 101
